Gene symbol	MDA-MB-231
DDX11L1	39
WASH7P	150
FAM138A	1
FAM138F	1
OR4F5	0
LOC729737	132
LOC100133331	73
LOC100132287	0
LOC100132062	0
OR4F3	0
OR4F29	0
OR4F16	0
LOC101928626	0
LOC100288069	0
FAM87B	1
LINC00115	6
LINC01128	102
FAM41C	2
LOC100130417	1
SAMD11	214
NOC2L	221
KLHL17	195
PLEKHN1	143
PERM1	26
HES4	160
ISG15	1784
AGRN	3023
RNF223	0
C1orf159	112
LINC01342	1
TTLL10	0
TNFRSF18	13
TNFRSF4	0
SDF4	1697
B3GALT6	368
FAM132A	2
UBE2J2	1988
SCNN1D	102
ACAP3	49
PUSL1	210
CPSF3L	277
CPTP	105
TAS1R3	0
DVL1	580
MXRA8	907
AURKAIP1	2869
CCNL2	493
LOC148413	473
MRPL20	1069
ANKRD65	18
TMEM88B	0
LOC102724312	12
VWA1	149
ATAD3C	2
ATAD3B	136
ATAD3A	665
TMEM240	1
SSU72	681
C1orf233	24
MIB2	65
MMP23B	0
MMP23A	3
CDK11B	435
SLC35E2B	151
CDK11A	284
SLC35E2	824
NADK	260
GNB1	1891
CALML6	0
TMEM52	14
CFAP74	0
GABRD	0
PRKCZ	191
FAAP20	280
SKI	341
MORN1	3
LOC100129534	0
RER1	1086
PEX10	250
PLCH2	0
PANK4	24
HES5	4
LOC115110	5
TNFRSF14	98
LOC100996583	0
FAM213B	137
MMEL1	2
TTC34	0
ACTRT2	0
LINC00982	0
PRDM16	1
ARHGEF16	17
MEGF6	5
TPRG1L	400
WRAP73	281
TP73	36
TP73-AS1	74
CCDC27	0
SMIM1	12
LRRC47	1531
CEP104	116
DFFB	108
C1orf174	286
LINC01134	0
LINC01346	0
LOC284661	0
AJAP1	0
NPHP4	69
KCNAB2	47
CHD5	1
RPL22	4752
LOC102724450	3
RNF207	159
ICMT	738
LINC00337	4
HES3	0
GPR153	120
ACOT7	274
HES2	19
ESPN	3
TNFRSF25	22
PLEKHG5	22
NOL9	416
TAS1R1	0
ZBTB48	21
KLHL21	529
PHF13	232
THAP3	680
DNAJC11	305
LOC100505887	0
CAMTA1	131
VAMP3	543
PER3	27
UTS2	0
TNFRSF9	38
PARK7	1602
ERRFI1	1528
LOC102724539	0
SLC45A1	26
RERE	378
LOC102724552	0
ENO1	10718
ENO1-AS1	1
CA6	0
SLC2A7	0
SLC2A5	4
GPR157	0
H6PD	454
SPSB1	68
LOC100506022	1
SLC25A33	68
TMEM201	91
PIK3CD	919
PIK3CD-AS1	0
PIK3CD-AS2	0
CLSTN1	1053
CTNNBIP1	794
LZIC	40
NMNAT1	79
RBP7	2
UBE4B	114
KIF1B	433
RNU6-2	12
PGD	405
APITD1-CORT	125
APITD1	3
CORT	1
DFFA	142
PEX14	123
CASZ1	153
C1orf127	2
TARDBP	1218
MASP2	0
SRM	1429
EXOSC10	346
MTOR	204
MTOR-AS1	2
ANGPTL7	0
UBIAD1	260
PTCHD2	0
LOC101929181	0
FBXO2	6
FBXO44	27
FBXO6	7
MAD2L2	310
DRAXIN	0
AGTRAP	264
C1orf167	2
LOC102724659	0
MTHFR	141
CLCN6	70
NPPA-AS1	0
NPPA	0
NPPB	2
KIAA2013	1630
PLOD1	800
MFN2	522
MIIP	159
TNFRSF8	1
TNFRSF1B	203
VPS13D	153
SNORA59B	0
SNORA59A	0
DHRS3	81
AADACL4	0
AADACL3	0
C1orf158	0
PRAMEF12	0
PRAMEF1	0
PRAMEF11	0
HNRNPCL4	6
HNRNPCL3	6
HNRNPCL1	6
PRAMEF2	1
PRAMEF4	0
PRAMEF8	0
PRAMEF7	0
PRAMEF6	0
PRAMEF9	0
LOC101929983	0
LOC391003	0
PRAMEF22	0
PRAMEF25	0
PRAMEF26	0
PRAMEF5	0
LOC649324	0
LOC645354	0
HNRNPCL2	2
PRAMEF10	0
LOC645382	0
PRAMEF15	0
LOC400736	0
PRAMEF14	0
PRAMEF19	0
PRAMEF16	0
PRAMEF17	0
PRAMEF20	0
LRRC38	0
PDPN	1
PRDM2	177
KAZN	1
TMEM51-AS1	0
TMEM51	184
C1orf195	0
FHAD1	9
EFHD2	1232
CTRC	0
CELA2A	0
CELA2B	0
CASP9	47
DNAJC16	210
AGMAT	47
DDI2	1
RSC1A1	1
PLEKHM2	831
SLC25A34	5
TMEM82	0
FBLIM1	39
UQCRHL	581
FLJ37453	82
SPEN	550
ZBTB17	98
C1orf64	0
HSPB7	0
CLCNKA	0
CLCNKB	0
FAM131C	1
EPHA2	1995
ARHGEF19	161
RSG1	4
FBXO42	75
