Gene symbol	RT-R-MDA-MB-231
DDX11L1	20
WASH7P	168
FAM138A	0
FAM138F	0
OR4F5	0
LOC729737	181
LOC100133331	119
LOC100132287	0
LOC100132062	0
OR4F3	0
OR4F29	0
OR4F16	0
LOC101928626	0
LOC100288069	0
FAM87B	2
LINC00115	14
LINC01128	91
FAM41C	2
LOC100130417	3
SAMD11	218
NOC2L	218
KLHL17	264
PLEKHN1	142
PERM1	24
HES4	234
ISG15	978
AGRN	4596
RNF223	0
C1orf159	98
LINC01342	1
TTLL10	0
TNFRSF18	15
TNFRSF4	0
SDF4	1736
B3GALT6	462
FAM132A	10
UBE2J2	2084
SCNN1D	116
ACAP3	25
PUSL1	226
CPSF3L	306
CPTP	149
TAS1R3	2
DVL1	752
MXRA8	1253
AURKAIP1	1995
CCNL2	863
LOC148413	669
MRPL20	1460
ANKRD65	16
TMEM88B	0
LOC102724312	0
VWA1	140
ATAD3C	0
ATAD3B	125
ATAD3A	650
TMEM240	12
SSU72	660
C1orf233	9
MIB2	69
MMP23B	0
MMP23A	10
CDK11B	390
SLC35E2B	210
CDK11A	240
SLC35E2	1189
NADK	286
GNB1	2326
CALML6	0
TMEM52	2
CFAP74	0
GABRD	0
PRKCZ	359
FAAP20	512
SKI	385
MORN1	6
LOC100129534	9
RER1	1678
PEX10	334
PLCH2	96
PANK4	48
HES5	10
LOC115110	2
TNFRSF14	71
LOC100996583	0
FAM213B	142
MMEL1	1
TTC34	0
ACTRT2	0
LINC00982	0
PRDM16	0
ARHGEF16	84
MEGF6	111
TPRG1L	779
WRAP73	328
TP73	49
TP73-AS1	154
CCDC27	0
SMIM1	22
LRRC47	1748
CEP104	177
DFFB	116
C1orf174	370
LINC01134	1
LINC01346	0
LOC284661	0
AJAP1	0
NPHP4	80
KCNAB2	173
CHD5	4
RPL22	5872
LOC102724450	1
RNF207	204
ICMT	798
LINC00337	22
HES3	0
GPR153	87
ACOT7	314
HES2	53
ESPN	5
TNFRSF25	37
PLEKHG5	39
NOL9	584
TAS1R1	0
ZBTB48	16
KLHL21	725
PHF13	346
THAP3	725
DNAJC11	302
LOC100505887	0
CAMTA1	141
VAMP3	515
PER3	43
UTS2	0
TNFRSF9	56
PARK7	2050
ERRFI1	1527
LOC102724539	9
SLC45A1	15
RERE	582
LOC102724552	1
ENO1	9130
ENO1-AS1	2
CA6	0
SLC2A7	0
SLC2A5	2
GPR157	0
H6PD	551
SPSB1	81
LOC100506022	8
SLC25A33	87
TMEM201	119
PIK3CD	1748
PIK3CD-AS1	0
PIK3CD-AS2	6
CLSTN1	1278
CTNNBIP1	675
LZIC	63
NMNAT1	102
RBP7	0
UBE4B	171
KIF1B	385
RNU6-2	7
PGD	477
APITD1-CORT	121
APITD1	3
CORT	5
DFFA	264
PEX14	134
CASZ1	134
C1orf127	2
TARDBP	1322
MASP2	0
SRM	793
EXOSC10	403
MTOR	311
MTOR-AS1	4
ANGPTL7	0
UBIAD1	212
PTCHD2	2
LOC101929181	0
FBXO2	58
FBXO44	39
FBXO6	21
MAD2L2	323
DRAXIN	0
AGTRAP	376
C1orf167	0
LOC102724659	2
MTHFR	267
CLCN6	105
NPPA-AS1	2
NPPA	1
NPPB	0
KIAA2013	1508
PLOD1	768
MFN2	578
MIIP	212
TNFRSF8	1
TNFRSF1B	390
VPS13D	248
SNORA59B	0
SNORA59A	0
DHRS3	220
AADACL4	0
AADACL3	0
C1orf158	0
PRAMEF12	0
PRAMEF1	0
PRAMEF11	0
HNRNPCL4	27
HNRNPCL3	27
HNRNPCL1	27
PRAMEF2	0
PRAMEF4	0
PRAMEF8	0
PRAMEF7	0
PRAMEF6	0
PRAMEF9	0
LOC101929983	0
LOC391003	0
PRAMEF22	0
PRAMEF25	0
PRAMEF26	0
PRAMEF5	0
LOC649324	0
LOC645354	0
HNRNPCL2	9
PRAMEF10	0
LOC645382	0
PRAMEF15	0
LOC400736	0
PRAMEF14	0
PRAMEF19	0
PRAMEF16	0
PRAMEF17	0
PRAMEF20	0
LRRC38	0
PDPN	1
PRDM2	250
KAZN	10
TMEM51-AS1	0
TMEM51	347
C1orf195	0
FHAD1	11
EFHD2	956
CTRC	1
CELA2A	0
CELA2B	0
CASP9	54
DNAJC16	267
AGMAT	26
DDI2	5
RSC1A1	0
PLEKHM2	815
SLC25A34	7
TMEM82	0
FBLIM1	221
UQCRHL	626
FLJ37453	138
SPEN	852
ZBTB17	126
C1orf64	0
HSPB7	0
CLCNKA	0
CLCNKB	0
FAM131C	5
EPHA2	3458
ARHGEF19	188
RSG1	6
FBXO42	111
SZRD1	948
SPATA21	2
NECAP2	492
CROCCP3	23
FAM231B	0
NBPF1	234
CROCCP2	89
MST1P2	10
FAM231A	0
FAM231C	0
ESPNP	0
MST1L	10
CROCC	137
MFAP2	75
ATP13A2	114
SDHB	560
PADI2	6
PADI1	64
PADI3	54
PADI4	3
PADI6	0
RCC2	4689
ARHGEF10L	384
ACTL8	0
LOC101927876	0
IGSF21	0
KLHDC7A	7
PAX7	0
TAS1R2	0
ALDH4A1	241
IFFO2	231
UBR4	1765
EMC1	583
MRTO4	814
AKR7L	30
AKR7A3	1
LOC100506730	44
AKR7A2	1151
PQLC2	4
CAPZB	5013
MINOS1	689
MINOS1-NBL1	130
RPS14P3	5695
NBL1	499
HTR6	0
TMCO4	81
RNF186	0
OTUD3	111
PLA2G2E	0
PLA2G2A	0
PLA2G5	0
PLA2G2D	0
PLA2G2F	0
PLA2G2C	0
UBXN10-AS1	0
UBXN10	0
VWA5B1	0
LINC01141	1
CAMK2N1	261
MUL1	299
FAM43B	0
CDA	182
PINK1	581
PINK1-AS	1484
DDOST	1439
KIF17	2
SH2D5	100
HP1BP3	1442
EIF4G3	521
ECE1	3115
LOC100506801	0
NBPF3	168
ALPL	0
RAP1GAP	23
USP48	2063
LDLRAD2	345
HSPG2	349
CELA3B	0
CELA3A	0
LOC101928043	0
LINC00339	30
CDC42	1372
