Gene,Control,Resistant,Log2FoldChange,p-value
DDX11L1,39,20,-0.929610672108602,1.8141818536665456e-14
WASH7P,150,168,0.16247469695710534,1.8141818536665456e-14
FAM138A,1,0,-1.0,1.8141818536665456e-14
FAM138F,1,0,-1.0,1.8141818536665456e-14
LOC729737,132,181,0.4525122046975067,1.8141818536665456e-14
LOC100133331,73,119,0.6974372299795688,1.8141818536665456e-14
FAM87B,1,2,0.5849625007211562,1.8141818536665456e-14
LINC00115,6,14,1.0995356735509143,1.8141818536665456e-14
LINC01128,102,91,-0.16293857112620544,1.8141818536665456e-14
FAM41C,2,2,0.0,1.8141818536665456e-14
LOC100130417,1,3,1.0,1.8141818536665456e-14
SAMD11,214,218,0.026594210011713047,1.8141818536665456e-14
NOC2L,221,218,-0.019628806748932512,1.8141818536665456e-14
KLHL17,195,264,0.4351387053353532,1.8141818536665456e-14
PLEKHN1,143,142,-0.01005366466392291,1.8141818536665456e-14
PERM1,26,24,-0.11103131238874384,1.8141818536665456e-14
HES4,160,234,0.5456000684503827,1.8141818536665456e-14
ISG15,1784,978,-0.8665433093127669,1.8141818536665456e-14
AGRN,3023,4596,0.6042345265957312,1.8141818536665456e-14
C1orf159,112,98,-0.19082234233557804,1.8141818536665456e-14
LINC01342,1,1,0.0,1.8141818536665456e-14
TNFRSF18,13,15,0.19264507794239583,1.8141818536665456e-14
SDF4,1697,1736,0.032761295157354195,1.8141818536665456e-14
B3GALT6,368,462,0.3273913771998404,1.8141818536665456e-14
FAM132A,2,10,1.874469117916141,1.8141818536665456e-14
UBE2J2,1988,2084,0.0680041074982821,1.8141818536665456e-14
SCNN1D,102,116,0.18386419240018606,1.8141818536665456e-14
ACAP3,49,25,-0.9434164716336325,1.8141818536665456e-14
PUSL1,210,226,0.10544929858372971,1.8141818536665456e-14
CPSF3L,277,306,0.14315377264667198,1.8141818536665456e-14
CPTP,105,149,0.5008982359326816,1.8141818536665456e-14
TAS1R3,0,2,1.584962500721156,1.8141818536665456e-14
DVL1,580,752,0.37411170126739923,1.8141818536665456e-14
MXRA8,907,1253,0.4657731455111239,1.8141818536665456e-14
AURKAIP1,2869,1995,-0.5239390162257895,1.8141818536665456e-14
CCNL2,493,863,0.8065202705787909,1.8141818536665456e-14
LOC148413,473,669,0.49927403644687574,1.8141818536665456e-14
MRPL20,1069,1460,0.449345381514989,1.8141818536665456e-14
ANKRD65,18,16,-0.1604646721932461,1.8141818536665456e-14
LOC102724312,12,0,-3.700439718141092,1.8141818536665456e-14
VWA1,149,140,-0.08926733809708741,1.8141818536665456e-14
ATAD3C,2,0,-1.5849625007211563,1.8141818536665456e-14
ATAD3B,136,125,-0.12075215946061027,1.8141818536665456e-14
ATAD3A,665,650,-0.03286463390562663,1.8141818536665456e-14
TMEM240,1,12,2.700439718141092,1.8141818536665456e-14
SSU72,681,660,-0.045121467516480745,1.8141818536665456e-14
C1orf233,24,9,-1.3219280948873622,1.8141818536665456e-14
MIB2,65,69,0.08488889758651294,1.8141818536665456e-14
MMP23A,3,10,1.4594316186372973,1.8141818536665456e-14
CDK11B,435,390,-0.15715952746957407,1.8141818536665456e-14
SLC35E2B,151,210,0.47317167526359954,1.8141818536665456e-14
CDK11A,284,240,-0.24192877282214245,1.8141818536665456e-14
SLC35E2,824,1189,0.5284955490621277,1.8141818536665456e-14
NADK,260,286,0.13700093010580325,1.8141818536665456e-14
GNB1,1891,2326,0.29855912206595353,1.8141818536665456e-14
TMEM52,14,2,-2.321928094887362,1.8141818536665456e-14
PRKCZ,191,359,0.9068905956085185,1.8141818536665456e-14
FAAP20,280,512,0.868388695386128,1.8141818536665456e-14
SKI,341,385,0.1746045223821827,1.8141818536665456e-14
MORN1,3,6,0.8073549220576041,1.8141818536665456e-14
LOC100129534,0,9,3.321928094887362,1.8141818536665456e-14
RER1,1086,1678,0.627250289909721,1.8141818536665456e-14
PEX10,250,334,0.4164737313943627,1.8141818536665456e-14
PLCH2,0,96,6.599912842187128,1.8141818536665456e-14
PANK4,24,48,0.9708536543404835,1.8141818536665456e-14
HES5,4,10,1.1375035237499351,1.8141818536665456e-14
LOC115110,5,2,-1.0,1.8141818536665456e-14
TNFRSF14,98,71,-0.4594316186372972,1.8141818536665456e-14
FAM213B,137,142,0.05134688000022028,1.8141818536665456e-14
MMEL1,2,1,-0.5849625007211563,1.8141818536665456e-14
PRDM16,1,0,-1.0,1.8141818536665456e-14
ARHGEF16,17,84,2.2394659346953896,1.8141818536665456e-14
MEGF6,5,111,4.222392421336448,1.8141818536665456e-14
TPRG1L,400,779,0.9598718872946904,1.8141818536665456e-14
WRAP73,281,328,0.22239242133644802,1.8141818536665456e-14
TP73,36,49,0.43440282414577486,1.8141818536665456e-14
TP73-AS1,74,154,1.0473057147783569,1.8141818536665456e-14
SMIM1,12,22,0.8231222379159207,1.8141818536665456e-14
LRRC47,1531,1748,0.1911139919966955,1.8141818536665456e-14
CEP104,116,177,0.6053687113829932,1.8141818536665456e-14
DFFB,108,116,0.10218039480647817,1.8141818536665456e-14
C1orf174,286,370,0.37036844994511553,1.8141818536665456e-14
LINC01134,0,1,1.0,1.8141818536665456e-14
NPHP4,69,80,0.2105669859396584,1.8141818536665456e-14
KCNAB2,47,173,1.857980995127572,1.8141818536665456e-14
CHD5,1,4,1.3219280948873624,1.8141818536665456e-14
RPL22,4752,5872,0.3052592361950915,1.8141818536665456e-14
LOC102724450,3,1,-1.0,1.8141818536665456e-14
RNF207,159,204,0.3575520046180837,1.8141818536665456e-14
ICMT,738,798,0.1126211387818257,1.8141818536665456e-14
LINC00337,4,22,2.2016338611696504,1.8141818536665456e-14
GPR153,120,87,-0.4594316186372972,1.8141818536665456e-14
ACOT7,274,314,0.19592020997525691,1.8141818536665456e-14
HES2,19,53,1.4329594072761063,1.8141818536665456e-14
ESPN,3,5,0.5849625007211562,1.8141818536665456e-14
TNFRSF25,22,37,0.7243655573865726,1.8141818536665456e-14
PLEKHG5,22,39,0.7983661388303495,1.8141818536665456e-14
NOL9,416,584,0.4883892410261032,1.8141818536665456e-14
ZBTB48,21,16,-0.3719687773869579,1.8141818536665456e-14
KLHL21,529,725,0.4539771885451891,1.8141818536665456e-14
PHF13,232,346,0.5746057079239806,1.8141818536665456e-14
THAP3,680,725,0.09231474998367963,1.8141818536665456e-14
DNAJC11,305,302,-0.014213859219700802,1.8141818536665456e-14
CAMTA1,131,141,0.10535300014622853,1.8141818536665456e-14
VAMP3,543,515,-0.07623558582708535,1.8141818536665456e-14
PER3,27,43,0.6520766965796931,1.8141818536665456e-14
TNFRSF9,38,56,0.5474877953024933,1.8141818536665456e-14
PARK7,1602,2050,0.3555530663253039,1.8141818536665456e-14
ERRFI1,1528,1527,-0.0009438633250559774,1.8141818536665456e-14
LOC102724539,0,9,3.321928094887362,1.8141818536665456e-14
SLC45A1,26,15,-0.7548875021634687,1.8141818536665456e-14
RERE,378,582,0.6212980350294047,1.8141818536665456e-14
LOC102724552,0,1,1.0,1.8141818536665456e-14
ENO1,10718,9130,-0.23132554610645567,1.8141818536665456e-14
ENO1-AS1,1,2,0.5849625007211562,1.8141818536665456e-14
SLC2A5,4,2,-0.7369655941662062,1.8141818536665456e-14
H6PD,454,551,0.2788017216921103,1.8141818536665456e-14
SPSB1,68,81,0.24902754783991457,1.8141818536665456e-14
LOC100506022,1,8,2.169925001442312,1.8141818536665456e-14
SLC25A33,68,87,0.35090716185912807,1.8141818536665456e-14
TMEM201,91,119,0.3833286395515057,1.8141818536665456e-14
PIK3CD,919,1748,0.9268245229772775,1.8141818536665456e-14
PIK3CD-AS2,0,6,2.807354922057604,1.8141818536665456e-14
CLSTN1,1053,1278,0.2791413972444223,1.8141818536665456e-14
CTNNBIP1,794,675,-0.23393161388953332,1.8141818536665456e-14
LZIC,40,63,0.6424479953819163,1.8141818536665456e-14
NMNAT1,79,102,0.3645724322958561,1.8141818536665456e-14
RBP7,2,0,-1.5849625007211563,1.8141818536665456e-14
UBE4B,114,171,0.5807747037577228,1.8141818536665456e-14
KIF1B,433,385,-0.16909419517639884,1.8141818536665456e-14
RNU6-2,12,7,-0.7004397181410921,1.8141818536665456e-14
PGD,405,477,0.23553089079557232,1.8141818536665456e-14
APITD1-CORT,125,121,-0.046542585937030194,1.8141818536665456e-14
APITD1,3,3,0.0,1.8141818536665456e-14
CORT,1,5,1.584962500721156,1.8141818536665456e-14
DFFA,142,264,0.8899772126721721,1.8141818536665456e-14
PEX14,123,134,0.12261928666395558,1.8141818536665456e-14
CASZ1,153,134,-0.18997094364407044,1.8141818536665456e-14
C1orf127,2,2,0.0,1.8141818536665456e-14
TARDBP,1218,1322,0.11811493565846484,1.8141818536665456e-14
SRM,1429,793,-0.848804234522794,1.8141818536665456e-14
EXOSC10,346,403,0.21941963017353383,1.8141818536665456e-14
MTOR,204,311,0.6059221193568023,1.8141818536665456e-14
MTOR-AS1,2,4,0.7369655941662062,1.8141818536665456e-14
UBIAD1,260,212,-0.2931963763440462,1.8141818536665456e-14
PTCHD2,0,2,1.584962500721156,1.8141818536665456e-14
